ncr_id,date,severity,description,containment,disposition,root_cause,corrective_action
NCR-2025-001,2025-01-03,Major,"During final inspection of batch LOT-2025-0012, dimensional check on MACHINE_01 (CNC lathe) revealed outer diameter 12.52mm vs spec 12.00±0.05mm. Operator JEAN_D reported tool wear not flagged by system. Supplier STEELCO raw material within spec. 47 parts affected.","Segregated all parts from LOT-2025-0012 in quarantine area. Halted production on MACHINE_01.","Reject/Scrap","Tool wear sensor calibration drift on MACHINE_01. Last calibration 45 days overdue.","Recalibrate tool wear sensors. Implement weekly calibration check."
NCR-2025-002,2025-01-05,Minor,"Surface finish defect observed during visual inspection at ASSEMBLY_LINE_02. Scratches on 12 units from batch LOT-2025-0018. Process step: final polishing. Operator MARIE_L noted polishing pad worn beyond limit. Parts from supplier METALWORKS.","Isolated affected units for rework assessment.","Rework","Polishing pad exceeded service life. No replacement alert triggered.","Replace polishing pads. Add usage counter alert at 80% service life."
NCR-2025-003,2025-01-07,Critical,"Customer complaint: Product P-4521 failed in field after 3 weeks. Weld joint fracture at connection point. Batch LOT-2024-0892 processed on WELDER_03. Operator PIERRE_M. Supplier ALLOYTECH provided filler material. 230 units potentially affected in field.","Initiated customer notification. Recalled remaining stock from distributors.","Reject/Scrap","Filler wire from ALLOYTECH batch FW-2024-11 had incorrect alloy composition (lab analysis confirmed).","Issue SCAR to ALLOYTECH. Implement incoming inspection for filler material composition."
NCR-2025-004,2025-01-08,Major,"Heat treatment process deviation on FURNACE_01. Temperature log showed 15°C undershoot during soak phase for batch LOT-2025-0021. Hardness test results: 52 HRC vs spec 58-62 HRC. Operator LUCAS_R. 89 parts affected.","Parts held in heat treatment quarantine pending disposition.","Rework","Thermocouple T3 in FURNACE_01 showing drift. Preventive maintenance delayed.","Replace thermocouple T3. Re-heat treat batch. Update PM schedule enforcement."
NCR-2025-005,2025-01-10,Minor,"Packaging damage found during shipping preparation. 8 units from batch LOT-2025-0025 had dented protective cases. Process step: packaging at PACK_STATION_01. Operator SOPHIE_B. Cases supplied by BOXPRO.","Units set aside for repackaging inspection.","Use-as-is (product undamaged)","Forklift impact on pallet during transfer. Operator training gap identified.","Retrain forklift operators. Add buffer zone marking in packaging area."
NCR-2025-006,2025-01-11,Major,"Incoming inspection rejection: Raw material batch RM-2025-0033 from supplier METALWORKS failed tensile strength test (485 MPa vs spec 520 MPa min). Material intended for critical components.","Material quarantined. Production order PO-2025-102 on hold.","Reject/Return to supplier","Supplier process variation. Certificate of conformance did not match actual test results.","Issue SCAR to METALWORKS. Increase incoming inspection sampling rate."
NCR-2025-007,2025-01-12,Minor,"Labeling error on 24 units from batch LOT-2025-0029. Wrong revision number printed (Rev B instead of Rev C). Discovered at LABELING_STATION_02 by operator MARC_T during final check.","Units segregated for relabeling.","Rework","Label template not updated after engineering change order ECO-2025-003.","Update label template. Add ECO verification step to label change process."
NCR-2025-008,2025-01-14,Major,"Leak test failure at TEST_BENCH_01. 15 units from batch LOT-2025-0031 showed pressure decay >5% (spec: <2%). Process step: hydraulic assembly. Operator ANNE_F. O-rings from supplier SEALTECH.","Failed units quarantined. O-ring lot OR-2025-008 isolated.","Reject/Scrap","O-ring durometer out of spec (65 Shore A vs 70±2). SEALTECH batch variation.","SCAR to SEALTECH. Implement durometer check at incoming inspection."
NCR-2025-009,2025-01-15,Critical,"MACHINE_01 produced 156 parts with thread depth 0.3mm short of spec before detection. Batch LOT-2025-0034. Operator JEAN_D. In-process inspection missed due to shift handover gap. Parts for customer AEROTECH order.","All 156 parts quarantined. Customer notified of potential delay.","Reject/Scrap","Threading tool breakage not detected. Shift handover checklist not completed.","Implement mandatory tool check at shift change. Add in-process thread gauge check."
NCR-2025-010,2025-01-17,Minor,"Cosmetic defect: Paint adhesion failure on 6 units from batch LOT-2025-0038. Process step: coating at PAINT_BOOTH_02. Operator CLAIRE_V. Paint from supplier COATPRO batch CP-2025-02.","Units held for strip and repaint assessment.","Rework","Surface preparation incomplete. Solvent wipe step skipped per operator statement.","Reinforce surface prep procedure. Add verification checkbox to work order."
NCR-2025-011,2025-01-18,Major,"Electrical test failure at TEST_BENCH_02. 9 units from batch LOT-2025-0040 showed insulation resistance <100MΩ (spec: >500MΩ). Assembly step: wire harness installation. Operator DAVID_P. Wire from CABLETECH.","Units quarantined. Wire lot CW-2025-015 isolated for testing.","Reject/Scrap","Wire insulation damage during routing. Sharp edge on bracket not deburred.","Deburr bracket edges. Add insulation check to assembly instruction."
NCR-2025-012,2025-01-20,Minor,"Documentation error: 3 Device History Records for batch LOT-2025-0042 missing operator signature at process step verification. Discovered during batch record review by QA.","Batch on hold pending documentation completion.","Use-as-is (after documentation corrected)","Operator THOMAS_G forgot to sign. No systemic issue identified.","Remind operators of signature requirements. Consider electronic signature system."
NCR-2025-013,2025-01-21,Major,"Dimensional nonconformance on MACHINE_03 (milling center). Slot width 8.12mm vs spec 8.00±0.05mm on 34 parts from batch LOT-2025-0044. Operator MARIE_L. Similar issue occurred on MACHINE_03 in December 2024.","Parts quarantined. MACHINE_03 taken offline for investigation.","Reject/Scrap","Spindle bearing wear causing runout. Recurring issue - PM interval insufficient.","Replace spindle bearings. Reduce PM interval from 6 months to 3 months for MACHINE_03."
NCR-2025-014,2025-01-22,Critical,"Assembly error: 5 units shipped to customer MEDITECH with wrong PCB revision installed (Rev 2.1 instead of Rev 2.3). Customer reported malfunction. ASSEMBLY_LINE_01 operator LUCAS_R.","Customer return initiated. Remaining Rev 2.1 boards quarantined.","Reject/Scrap","Obsolete PCB boards not removed from line stock. Inventory control failure.","Purge obsolete inventory. Implement barcode verification at assembly."
NCR-2025-015,2025-01-24,Minor,"Surface contamination (oil residue) detected on 18 parts from batch LOT-2025-0048 during cleanliness inspection. Process step: machining on MACHINE_02. Operator PIERRE_M. Coolant from supplier LUBRITECH.","Parts sent for additional cleaning cycle.","Rework","Coolant concentration too high (12% vs spec 8-10%). Mix ratio error.","Recalibrate coolant mixer. Implement daily concentration checks."
NCR-2025-016,2025-01-25,Major,"Weld porosity detected via X-ray inspection on WELDER_03. 7 units from batch LOT-2025-0050 exceed porosity limits. Operator ANNE_F. Shielding gas from GASTECH. Second porosity issue on WELDER_03 this month.","Units quarantined. WELDER_03 offline pending investigation.","Reject/Scrap","Gas flow regulator malfunction. Insufficient shielding during weld.","Replace regulator. Add pre-weld gas flow verification step."
NCR-2025-017,2025-01-26,Minor,"Weight variation detected at PACK_STATION_01. 4 units from batch LOT-2025-0052 underweight by 15g (spec: 500g±5g). Operator SOPHIE_B. Component from supplier PARTCO.","Units segregated for component verification.","Rework (add missing component)","Missing washer in assembly. Component kit from PARTCO incomplete.","SCAR to PARTCO. Add weight check to assembly verification."
NCR-2025-018,2025-01-27,Major,"MACHINE_01 spindle crash during operation. Operator JEAN_D emergency stopped. Tool holder damaged, part LOT-2025-0055-001 scrapped. No injury. Third incident on MACHINE_01 in Q1.","MACHINE_01 locked out. Maintenance called.","N/A (equipment damage)","G-code error in new program revision. Simulation not performed before production run.","Mandate program simulation before first article. Review all recent program changes."
NCR-2025-019,2025-01-28,Critical,"Sterility test failure on batch LOT-2025-0056. Bioburden >10 CFU vs spec 0 CFU. Process step: final packaging in CLEANROOM_01. Operator CLAIRE_V. Packaging material from STERILEPACK.","Entire batch quarantined. Cleanroom shutdown for investigation.","Reject/Scrap","HEPA filter bypass detected. Seal degradation on filter housing.","Replace HEPA filter and housing seal. Increase filter integrity test frequency."
NCR-2025-020,2025-01-29,Minor,"Traceability gap: 12 units from batch LOT-2025-0058 missing serial number etching. Process step: marking at LASER_MARK_01. Operator MARC_T. Discovered during final inspection.","Units held for marking completion.","Rework","Laser marker ran out of marking solution mid-batch. No low-level alert.","Add solution level sensor. Implement batch start verification check."
